Year,Tms,#Bat,BatAge,R/G,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,BIP,ERA,WHIP,SO9,IF/FB,GO/AO
1965,20,702,27.3,3.99,3246,37.82,33.81,3.99,8.30,5.94,1.29,0.24,0.83,3.70,0.45,0.24,3.09,5.94,0.246,0.311,0.372,0.683,12.57,0.73,0.22,0.46,0.24,0.35,27.28,3.50,1.267,5.9,,1.18
1964,20,700,27.4,4.04,3252,37.83,33.97,4.04,8.51,6.12,1.31,0.23,0.85,3.76,0.36,0.22,2.96,5.91,0.250,0.313,0.378,0.690,12.84,0.74,0.21,0.45,0.23,0.31,27.44,3.58,1.280,5.9,,1.192
1963,20,695,27.6,3.95,3238,37.79,33.91,3.95,8.35,6.00,1.27,0.24,0.84,3.68,0.38,0.24,2.96,5.80,0.246,0.309,0.372,0.681,12.61,0.70,0.22,0.45,0.24,0.29,27.51,3.46,1.259,5.8,,1.124
1962,20,702,27.9,4.46,3242,38.43,34.14,4.46,8.80,6.28,1.33,0.26,0.93,4.18,0.42,0.22,3.37,5.42,0.258,0.326,0.393,0.719,13.43,0.77,0.22,0.42,0.26,0.25,28.05,3.96,1.360,5.5,,1.111
1961,18,620,28.0,4.53,2860,38.32,33.93,4.53,8.76,6.16,1.39,0.26,0.95,4.22,0.37,0.21,3.46,5.23,0.258,0.328,0.399,0.727,13.55,0.78,0.20,0.46,0.27,0.26,28.02,4.03,1.374,5.3,,1.096
1960,16,575,28.2,4.31,2472,38.36,33.99,4.31,8.67,6.15,1.39,0.27,0.86,4.03,0.37,0.22,3.39,5.18,0.255,0.324,0.388,0.712,13.18,0.77,0.20,0.48,0.28,0.29,28.23,3.82,1.343,5.2,,1.058
1959,16,571,28.5,4.38,2476,38.27,34.04,4.38,8.74,6.19,1.40,0.24,0.91,4.11,0.34,0.20,3.31,5.09,0.257,0.324,0.392,0.716,13.35,0.74,0.20,0.46,0.25,0.29,28.29,3.90,1.349,5.1,,1.082
1958,16,580,28.4,4.28,2470,38.13,33.94,4.28,8.75,6.20,1.37,0.27,0.91,4.03,0.30,0.21,3.29,4.95,0.258,0.325,0.394,0.719,13.38,0.83,0.20,0.42,0.26,0.27,28.34,3.86,1.349,5.0,,1.059
1957,16,563,28.5,4.31,2470,38.63,34.37,4.31,8.85,6.32,1.37,0.27,0.89,4.06,0.31,0.23,3.31,4.84,0.258,0.324,0.391,0.715,13.45,0.80,0.21,0.45,0.28,0.30,28.92,3.83,1.344,4.8,,1.063
1956,16,552,28.3,4.45,2478,38.45,33.84,4.45,8.74,6.17,1.35,0.29,0.93,4.17,0.29,0.20,3.63,4.64,0.258,0.331,0.397,0.729,13.45,0.80,0.19,0.51,0.26,0.32,28.53,3.96,1.387,4.7,,1.002
1955,16,599,28.3,4.48,2468,38.51,33.87,4.48,8.76,6.26,1.32,0.28,0.90,4.21,0.28,0.22,3.66,4.38,0.259,0.332,0.394,0.726,13.34,0.79,0.21,0.48,0.28,0.29,28.87,4.00,1.393,4.4,,0.985
1954,16,536,28.2,4.38,2472,38.67,33.95,4.38,8.86,6.36,1.40,0.32,0.78,4.11,0.28,0.21,3.65,4.13,0.261,0.333,0.390,0.723,13.25,0.79,0.18,0.54,0.32,0.31,29.36,3.90,1.398,4.2,,0.989
1953,16,534,28.4,4.61,2480,38.49,34.27,4.61,9.06,6.47,1.45,0.30,0.84,4.32,0.27,0.21,3.50,4.12,0.264,0.336,0.397,0.733,13.62,0.82,0.20,0.50,,0.23,29.31,4.14,1.414,4.2,,0.999
1952,16,556,28.6,4.18,2478,38.28,33.98,4.18,8.58,6.25,1.37,0.27,0.69,3.90,0.31,0.25,3.54,4.19,0.253,0.327,0.370,0.696,12.56,0.79,0.19,0.55,,0.28,29.10,3.70,1.353,4.2,,1.02
1951,16,543,28.7,4.55,2478,38.76,34.33,4.55,8.96,6.47,1.45,0.29,0.75,4.25,0.35,0.24,3.73,3.77,0.261,0.336,0.386,0.722,13.23,0.87,0.18,0.50,,0.21,29.81,4.04,1.416,3.8,,0.961
1950,16,530,28.3,4.85,2476,38.97,34.26,4.85,9.11,6.45,1.50,0.32,0.84,4.55,0.26,0.21,4.02,3.86,0.266,0.346,0.402,0.748,13.76,0.90,0.18,0.50,,0.22,29.56,4.36,1.480,3.9,,0.988
1949,16,532,28.5,4.61,2480,38.81,34.02,4.61,8.94,6.49,1.45,0.31,0.69,4.29,0.29,0.25,4.04,3.61,0.263,0.344,0.384,0.728,13.07,0.86,0.15,0.57,,0.21,29.72,4.12,1.459,3.7,,0.984
1948,28,835,28.4,4.63,2900,38.58,34.02,4.63,8.97,6.55,1.48,0.36,0.58,4.26,0.38,0.21,3.79,3.11,0.264,0.340,0.379,0.719,12.90,,0.16,0.58,,0.23,30.33,4.09,1.447,3.9,,1
1947,28,850,28.9,4.51,2980,38.32,33.92,4.51,8.90,6.55,1.43,0.34,0.58,4.14,0.38,0.21,3.64,3.07,0.262,0.337,0.376,0.713,12.76,,0.15,0.59,,0.31,30.27,3.95,1.424,3.9,,0.991
1946,28,953,29.2,4.17,2956,38.20,33.88,4.17,8.70,6.51,1.40,0.33,0.46,3.81,0.39,0.24,3.50,3.28,0.257,0.329,0.359,0.688,12.15,,0.14,0.66,,0.26,30.14,3.59,1.378,4.1,,1.015
1945,28,869,29.7,4.29,2882,38.44,34.28,4.29,8.95,6.83,1.40,0.33,0.39,3.91,0.41,0.24,3.31,2.79,0.261,0.329,0.355,0.684,12.17,,0.15,0.67,,0.28,31.10,3.65,1.380,3.5,,0.978
1944,28,849,29.4,4.27,2906,38.39,34.39,4.27,9.00,6.82,1.45,0.34,0.39,3.91,0.39,0.22,3.14,2.82,0.262,0.326,0.358,0.684,12.31,0.64,0.15,0.69,,0.26,31.18,3.58,1.355,3.5,,0.974
1943,29,829,28.8,4.13,2992,38.25,34.12,4.13,8.73,6.67,1.38,0.34,0.34,3.73,0.45,0.26,3.33,2.86,0.256,0.324,0.346,0.671,11.81,,0.14,0.64,0.00,0.20,30.92,3.51,1.345,3.6,,1.048
