Year,Tms,#Bat,BatAge,R/G,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,BIP
1940,29,833,27.9,4.77,2962,113989,101936,14123,27253,19611,4740,1140,1762,12933,1282,740,9956,9049,0.267,0.335,0.388,0.723,39559,1842,475,1582,0,668,91125
1939,30,814,28.1,4.86,2840,109758,97497,13815,26719,19460,4579,1056,1624,12710,1208,662,9660,8501,0.274,0.342,0.393,0.734,38282,,353,2193,,603,87372
1938,30,830,28.2,4.96,2936,113505,101079,14575,27587,20036,4690,1180,1681,13494,1240,650,10120,8335,0.273,0.342,0.393,0.734,39680,,442,1814,,574,91063
1937,30,824,28,5.01,2965,114553,102383,14843,28318,20453,4936,1279,1650,13629,1338,816,9847,9001,0.277,0.343,0.398,0.741,40762,,424,1856,,594,91732
1936,23,633,28.4,5.26,2784,109734,98011,14635,27848,20265,4923,1111,1549,13538,1134,727,9440,8235,0.284,0.35,0.404,0.754,39640,,477,1761,,562,88227
1935,24,660,28.3,5.04,2830,110590,99127,14251,27747,20123,4914,1178,1532,13179,1169,713,9043,8004,0.28,0.343,0.4,0.743,39613,,456,1922,,498,89591
1934,24,652,28.5,4.9,2746,106493,95631,13445,26622,19502,4692,999,1429,12520,1071,652,8672,8432,0.278,0.341,0.393,0.734,37599,,383,1765,,479,85770
1933,25,626,28.5,4.55,2734,105251,94761,12448,25580,18905,4360,1138,1177,11520,1061,772,8020,7444,0.27,0.33,0.377,0.707,35747,,423,1983,,358,86140
1932,34,842,27.8,4.85,3049,117734,106174,14791,29163,21101,5266,1328,1468,13510,1390,811,9014,7878,0.275,0.334,0.391,0.725,41489,,440,2042,,355,96828
1931,22,637,28.2,4.83,2678,103903,93513,12930,25880,18800,4797,1149,1134,11947,1225,927,8329,7894,0.277,0.339,0.389,0.728,36377,,437,1568,,377,84485
1930,25,688,27.9,5.49,3043,118163,105723,16711,30894,21954,5541,1613,1786,15455,1513,804,9314,7934,0.292,0.352,0.426,0.778,45019,,432,2609,,275,96003
1929,29,786,28.2,5.33,3391,130535,116184,18079,33626,24258,5919,1609,1840,16608,2155,1003,10998,6982,0.289,0.354,0.416,0.769,48283,,539,2717,,333,107362
1928,29,783,28,4.84,3235,124046,110585,15656,31073,22790,5346,1497,1440,14288,1900,962,9620,7099,0.281,0.342,0.395,0.738,43733,,723,2987,,308,102046
1927,31,821,28,4.84,3552,134939,120349,17184,33941,25188,5654,1682,1417,15663,2239,1171,10708,6889,0.282,0.344,0.392,0.736,47210,,620,3184,,316,112043
1926,32,838,28.1,4.83,3419,130193,115265,16527,32229,23770,5516,1613,1330,14953,2323,1125,10783,6954,0.28,0.346,0.39,0.736,44961,,853,3200,,210,106981
1925,32,848,27.7,5.24,3502,134896,120809,18335,34798,25558,5823,1681,1736,16658,2370,1103,10944,6665,0.288,0.35,0.407,0.757,49191,,495,2555,,273,112408
1924,33,867,27.5,4.91,3426,131245,117531,16835,33264,25028,5366,1634,1236,15002,2350,1247,10065,6643,0.283,0.343,0.388,0.732,45606,,759,2704,,320,109652
1923,30,800,27.7,5.02,3299,128234,113501,16559,32200,24207,5098,1539,1356,14795,2229,1258,9920,7021,0.284,0.346,0.392,0.737,44444,,817,3819,,,105124
1922,24,654,28,5,3037,117930,104403,15198,29892,22290,4772,1531,1299,13546,2037,1165,8938,6950,0.286,0.347,0.399,0.746,41623,,767,3695,,,96154
1921,24,668,27.7,4.89,3131,121172,107615,15296,30758,23132,4785,1711,1130,13521,2299,1317,8673,6959,0.286,0.344,0.394,0.737,42355,,830,3859,,,99526
1920,24,673,27.7,4.39,2982,114161,101172,13084,27592,21207,4204,1460,721,11278,2220,1563,8376,7247,0.273,0.333,0.365,0.697,36879,,721,3734,,,93204
1919,16,479,28.1,3.88,2236,84084,74672,8665,19624,15207,2922,1048,447,7423,2081,,5982,6849,0.263,0.322,0.348,0.67,25983,,531,2718,,,67376
1918,16,489,28.1,3.63,2032,76118,67315,7385,17085,13642,2323,885,235,6216,2003,,5749,5925,0.254,0.317,0.325,0.642,21883,,461,2446,,,61155
1917,16,490,27.3,3.59,2494,92798,82055,8949,20391,16009,2909,1138,335,7587,2413,,6910,8680,0.249,0.311,0.324,0.635,26581,,579,3079,,,73040
1916,16,527,27.2,3.56,2494,92658,81924,8889,20285,15766,2995,1141,383,7533,2753,836,7076,9534,0.248,0.312,0.326,0.638,26711,,640,2829,,,72007
1915,24,733,27.3,3.81,3728,138512,121704,14213,30460,23524,4532,1769,635,11980,4106,2046,11120,14020,0.25,0.318,0.332,0.65,40435,,1015,4441,,,107049
1914,24,740,27.2,3.87,3758,139283,122587,14531,31129,24055,4625,1739,710,12222,4573,1370,11143,14764,0.254,0.321,0.337,0.659,41362,,991,4188,,,107113
1913,16,582,26.8,4.04,2468,92005,81217,9961,21021,16216,3070,1265,470,8350,3250,1223,7267,9283,0.259,0.325,0.345,0.67,28031,,702,2541,,,71464
1912,16,604,26.8,4.53,2464,93452,82039,11164,22039,16889,3353,1355,442,9389,3398,1340,7683,9684,0.269,0.337,0.359,0.695,29428,,717,2765,,,71913
1911,16,535,27.1,4.51,2474,94231,82259,11161,21914,16812,3265,1323,514,9318,3403,,7838,9871,0.266,0.336,0.357,0.693,29367,,844,2884,,,71874
1910,16,508,27.3,3.83,2498,93204,81551,9577,20332,15996,2815,1160,361,7858,3265,,7419,9677,0.249,0.318,0.326,0.644,26550,,791,3020,,,71513
1909,16,504,27.6,3.54,2482,91571,80613,8797,19657,15736,2659,1003,259,7125,3055,,6505,9377,0.244,0.306,0.311,0.618,25099,,764,3116,,,70977
1908,16,440,28.6,3.38,2488,91106,80679,8417,19279,15488,2523,1001,267,6822,2722,,5860,9078,0.239,0.297,0.305,0.602,24605,,771,3231,,,71334
1907,16,419,28.7,3.52,2466,90356,80304,8692,19701,16027,2470,960,244,7075,2781,,6101,8836,0.245,0.305,0.309,0.614,24823,,739,2602,,,71224
1906,16,412,28.6,3.62,2454,90085,80061,8874,19742,15845,2632,1004,261,7279,2997,,6169,9110,0.247,0.306,0.314,0.621,25165,,728,2699,,,70690
1905,16,390,28.7,3.89,2474,91821,81842,9635,20298,15982,2858,1120,338,7936,2946,,6189,9523,0.248,0.307,0.323,0.63,26410,,818,2504,,,71981
1904,16,364,28.5,3.73,2496,91520,82488,9302,20363,16027,2851,1154,331,7591,2781,,5580,9299,0.247,0.301,0.321,0.622,26515,,777,2219,,,72858
1903,16,368,28.4,4.44,2228,83899,75439,9888,19776,15246,3034,1161,335,8144,2742,,5369,7899,0.262,0.317,0.346,0.664,26137,,729,2012,,,67205
1902,16,390,28.3,4.44,2230,84558,76280,9897,20350,16181,2832,983,354,8258,2684,,5442,6630,0.267,0.322,0.344,0.665,26210,,716,1835,,,69296
1901,16,371,28.1,4.99,2218,85320,77105,11073,20957,16333,2931,1238,455,9136,2851,,5465,6976,0.272,0.327,0.36,0.686,27729,,830,1672,,,69674
1900,8,188,28.5,5.22,1136,43485,39132,5932,10925,8632,1432,607,254,4924,1686,,3034,2681,0.279,0.339,0.366,0.705,14333,,513,806,,,36197
